listing_id,type,name,rooms,amenities,price,rating_reviews,superhost,latitude,longitude,property_type,neighborhood,guest_qty,studio_vs_apt,bedroom_qty,bed_qty,bathroom_qty,average_review,review_qty
17844130,Entire rental unit in Brooklyn Heights,Trendy Apt in Historic Brooklyn Heights,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$159 ,4.93 (34 reviews)$159 / night$159 per night,True,40.69593,-73.99662,Entire rental unit,Brooklyn Heights,2,Apartment,1,1,1,4.93 ,34
29905155,Entire rental unit in Columbia Street Waterfront,Beautiful Cobble Hill Waterfront Garden Apartment,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$161 ,5.0 (61 reviews)$161 / night$161 per night,True,40.68869,-74.00063,Entire rental unit,Columbia Street Waterfront,2,Apartment,1,1,1,5.0 ,61
49501298,Private room in Brooklyn Heights,Sun filled apt w/ a gorgeous view of the city,1 guest · 1 bedroom · 1 bed · 1 shared bath,Wifi · Kitchen · Heating,$50 ,$50 / night$50 per night,False,40.69449,-73.99799,Private room,Brooklyn Heights,1,Apartment,1,1,1,,0
19949138,Entire rental unit in Columbia Street Waterfront,Large Artist Loft/Private Terrace,3 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$200 ,4.87 (30 reviews)$200 / night$200 per night,True,40.68468,-74.00343,Entire rental unit,Columbia Street Waterfront,3,Apartment,1,1,1,4.87 ,30
45634265,Entire rental unit in Brooklyn,Charming Cobble Hill/Brooklyn Heights Apartment,3 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$155 ,4.85 (33 reviews)$155 / night$155 per night,True,40.6893,-73.9946,Entire rental unit,Brooklyn,3,Apartment,1,1,1,4.85 ,33
2932263,Entire rental unit in Brooklyn Heights,Cheery Brooklyn Heights Studio!!,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$150 ,4.71 (98 reviews)$150 / night$150 per night,True,40.69722,-73.99209,Entire rental unit,Brooklyn Heights,2,Apartment,1,1,1,4.71 ,98
10175969,Private room in Brooklyn,Sunny rm in clean 2 bedroom Boerum Hill apartment,2 guests · 1 bedroom · 1 bed · 1 private bath,Wifi · Kitchen · Heating,$72 ,4.83 (19 reviews)$72 / night$72 per night,False,40.68516,-73.99154,Private room,Brooklyn,2,Apartment,1,1,1,4.83 ,19
18704413,Entire rental unit in Brooklyn Heights,Private Suite in Classic Brooklyn Brownstone,3 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Heating,$201 ,4.92 (124 reviews)$201 / night$201 per night,True,40.69159,-73.99595,Entire rental unit,Brooklyn Heights,3,Apartment,1,1,1,4.92 ,124
36100930,Entire rental unit in Brooklyn,Garden Apt In Artists Historic Brownstone,2 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$112 ,4.89 (53 reviews)$112 / night$112 per night,True,40.68474,-73.98762,Entire rental unit,Brooklyn,2,Apartment,1,2,1,4.89 ,53
11343196,Private room in Brooklyn,Charming Studio in Great Location,2 guests · 1 bedroom · 1 bed · 1 private bath,Wifi · Air conditioning · Kitchen · Heating,$69 ,4.68 (57 reviews)$69 / night$69 per night,False,40.68998,-73.99372,Private room,Brooklyn,2,Apartment,1,1,1,4.68 ,57
34478311,Private room in Brooklyn,"room in sunny, charming, vintage style apartment",2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$100 ,4.97 (29 reviews)$100 / night$100 per night,True,40.681,-73.9942,Private room,Brooklyn,2,Apartment,1,1,1,4.97 ,29
26322941,Entire rental unit in Brooklyn,"Cobble Hill Retreat, 1-Bedroom Garden Apartment",4 guests · 1 bedroom · 2 beds · 1.5 baths,Wifi · Air conditioning · Kitchen · Heating,$201 ,4.99 (142 reviews)$201 / night$201 per night,True,40.68454,-73.99887,Entire rental unit,Brooklyn,4,Apartment,1,2,1,4.99 ,142
21365714,Entire rental unit in Jamaica,Queens Village relaxing place,4 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$61 ,4.64 (151 reviews)$61 / night$61 per night,False,40.70409,-73.73731,Entire rental unit,Jamaica,4,Studio,1,1,1,4.64 ,151
21380140,Private room in Jamaica,Cozy room available in Queens Village.,1 guest · 1 bedroom · 1 bed · 1 shared bath,Wifi · Kitchen · Heating,$30 ,4.78 (10 reviews)$30 / night$30 per night,False,40.71526,-73.7331,Private room,Jamaica,1,Apartment,1,1,1,4.78 ,10
34620162,Entire guest suite in Jamaica,Queens Village Morden 93,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$79 ,4.82 (153 reviews)$79 / night$79 per night,True,40.72205,-73.73571,Entire guest suite,Jamaica,2,Apartment,1,1,1,4.82 ,153
49798380,Entire residential home in Jamaica,Cozy and Clean Suite Near JFK and Long Island,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$70 ,5.0 (15 reviews)$70 / night$70 per night,False,40.69328,-73.75256,Entire residential home,Jamaica,2,Apartment,1,1,1,5.0 ,15
28838614,Entire rental unit in Jamaica,Sunny one bedroom renovated apartment,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$72 ,4.83 (59 reviews)$72 / night$72 per night,False,40.72122,-73.75003,Entire rental unit,Jamaica,4,Apartment,1,2,1,4.83 ,59
20814067,Private room in Jamaica,Queens 20 mins to subway- 15 mins JFK- walk to bus,1 guest · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$43 ,4.94 (205 reviews)$43 / night$43 per night,True,40.69422,-73.74881,Private room,Jamaica,1,Apartment,1,1,1,4.94 ,205
42298021,Private room in Jamaica,Celebrity's 2nd Queens Room by JFK & LGA,1 guest · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$35 ,5.0 (6 reviews)$35 / night$35 per night,False,40.70811,-73.74569,Private room,Jamaica,1,Apartment,1,1,1,5.0,6
31733307,Entire rental unit in Jamaica,5min fr Belmont Park 15min fr JFK 20min fr LaGuard,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$108 ,4.63 (124 reviews)$108 / night$108 per night,False,40.71297,-73.74597,Entire rental unit,Jamaica,2,Apartment,1,1,1,4.63 ,124
31360977,Entire guest suite in Queens,"Cozy, sparkle clean private studio!",2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$75 ,4.86 (49 reviews)$75 / night$75 per night,True,40.70141,-73.72491,Entire guest suite,Queens,2,Studio,1,1,1,4.86 ,49
